,label,idx
0,0.0,0.0
1,0.0,0.0
2,1.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,6.0,0.0
8,5.0,0.0
9,4.0,0.0
10,4.0,0.0
11,0.0,0.0
12,2.0,0.0
13,4.0,0.0
14,0.0,0.0
15,5.0,0.0
16,4.0,0.0
17,0.0,0.0
18,2.0,0.0
19,0.0,0.0
20,0.0,0.0
21,4.0,0.0
22,5.0,0.0
23,8.0,0.0
24,11.0,0.0
25,5.0,0.0
26,0.0,0.0
27,6.0,0.0
28,9.0,0.0
29,5.0,0.0
30,5.0,0.0
31,4.0,0.0
32,0.0,0.0
33,4.0,0.0
34,2.0,0.0
35,3.0,0.0
36,5.0,0.0
37,4.0,0.0
38,8.0,0.0
39,4.0,0.0
40,5.0,0.0
41,5.0,0.0
42,5.0,0.0
43,0.0,0.0
44,0.0,0.0
45,5.0,0.0
46,0.0,0.0
47,4.0,0.0
48,0.0,0.0
49,0.0,0.0
50,1.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,3.0,0.0
56,8.0,0.0
57,1.0,0.0
58,1.0,0.0
59,8.0,0.0
60,4.0,1.0
61,1.0,1.0
62,4.0,1.0
63,0.0,1.0
64,0.0,1.0
65,8.0,1.0
66,1.0,1.0
67,0.0,1.0
68,2.0,1.0
69,4.0,1.0
70,0.0,1.0
71,6.0,1.0
72,4.0,1.0
73,4.0,1.0
74,5.0,1.0
75,4.0,1.0
76,4.0,1.0
77,0.0,1.0
78,4.0,1.0
79,2.0,1.0
80,4.0,1.0
81,5.0,1.0
82,0.0,1.0
83,2.0,1.0
84,0.0,1.0
85,6.0,1.0
86,4.0,1.0
87,5.0,1.0
88,5.0,1.0
89,0.0,1.0
90,4.0,1.0
91,2.0,1.0
92,6.0,1.0
93,4.0,1.0
94,4.0,1.0
95,0.0,1.0
96,6.0,1.0
97,6.0,1.0
98,5.0,1.0
99,4.0,1.0
100,0.0,1.0
101,6.0,1.0
102,4.0,1.0
103,5.0,1.0
104,5.0,1.0
105,4.0,1.0
106,4.0,1.0
107,5.0,1.0
108,5.0,1.0
109,0.0,1.0
110,4.0,1.0
111,4.0,1.0
112,5.0,1.0
113,0.0,1.0
114,11.0,1.0
115,0.0,1.0
116,2.0,1.0
117,0.0,1.0
118,4.0,1.0
119,0.0,1.0
120,0.0,1.0
121,0.0,1.0
122,4.0,1.0
123,5.0,1.0
124,9.0,1.0
125,8.0,1.0
126,0.0,1.0
127,5.0,1.0
128,0.0,1.0
129,5.0,1.0
130,5.0,1.0
131,0.0,1.0
132,2.0,1.0
133,1.0,1.0
134,6.0,1.0
135,4.0,1.0
136,4.0,1.0
137,8.0,1.0
138,0.0,1.0
139,6.0,1.0
140,4.0,1.0
141,0.0,1.0
142,5.0,1.0
143,11.0,1.0
144,0.0,1.0
145,0.0,1.0
146,2.0,1.0
147,5.0,1.0
148,0.0,1.0
149,4.0,1.0
150,5.0,1.0
151,1.0,1.0
152,4.0,1.0
153,4.0,1.0
154,5.0,1.0
155,1.0,1.0
156,4.0,1.0
157,2.0,1.0
158,0.0,1.0
159,6.0,1.0
160,1.0,1.0
161,5.0,1.0
162,4.0,1.0
163,4.0,1.0
164,4.0,1.0
165,8.0,1.0
166,3.0,1.0
167,5.0,1.0
168,0.0,1.0
169,8.0,1.0
170,1.0,1.0
171,3.0,1.0
172,4.0,1.0
173,9.0,1.0
174,0.0,1.0
175,8.0,1.0
176,5.0,1.0
177,8.0,1.0
178,13.0,1.0
179,0.0,1.0
180,5.0,1.0
181,5.0,1.0
182,4.0,1.0
183,2.0,1.0
184,0.0,1.0
185,0.0,1.0
186,4.0,1.0
187,5.0,1.0
188,4.0,1.0
189,8.0,1.0
190,4.0,1.0
191,4.0,1.0
192,0.0,1.0
193,2.0,1.0
194,5.0,1.0
195,2.0,1.0
196,4.0,1.0
197,4.0,1.0
198,4.0,1.0
199,4.0,1.0
200,4.0,1.0
201,4.0,1.0
202,1.0,1.0
203,5.0,1.0
204,1.0,1.0
205,4.0,1.0
206,4.0,1.0
207,5.0,1.0
208,0.0,1.0
209,1.0,1.0
210,4.0,1.0
211,0.0,1.0
212,2.0,1.0
213,0.0,1.0
214,1.0,1.0
215,4.0,1.0
216,4.0,1.0
217,0.0,1.0
218,0.0,1.0
219,4.0,1.0
220,4.0,1.0
221,5.0,2.0
222,5.0,2.0
223,4.0,2.0
224,5.0,2.0
225,5.0,2.0
226,10.0,2.0
227,4.0,2.0
228,8.0,2.0
229,9.0,2.0
230,0.0,2.0
231,4.0,2.0
232,4.0,2.0
233,4.0,2.0
234,5.0,2.0
235,5.0,2.0
236,5.0,2.0
237,0.0,2.0
238,0.0,2.0
239,4.0,2.0
240,4.0,2.0
241,0.0,2.0
242,2.0,2.0
243,5.0,2.0
244,2.0,2.0
245,4.0,2.0
246,4.0,2.0
247,0.0,2.0
248,1.0,2.0
249,0.0,2.0
250,1.0,2.0
251,6.0,2.0
252,4.0,2.0
253,9.0,2.0
254,4.0,2.0
255,11.0,2.0
256,6.0,2.0
257,5.0,2.0
258,5.0,2.0
259,5.0,2.0
260,1.0,2.0
261,4.0,2.0
262,8.0,2.0
263,6.0,2.0
264,11.0,2.0
265,4.0,2.0
266,4.0,2.0
267,1.0,2.0
268,4.0,2.0
269,2.0,2.0
270,4.0,2.0
271,5.0,2.0
272,8.0,2.0
273,5.0,2.0
274,5.0,2.0
275,5.0,2.0
276,5.0,2.0
277,0.0,2.0
278,4.0,2.0
279,4.0,2.0
280,0.0,2.0
281,0.0,2.0
282,0.0,2.0
283,4.0,2.0
284,0.0,2.0
285,0.0,2.0
286,11.0,2.0
287,0.0,2.0
288,7.0,2.0
289,0.0,2.0
290,2.0,2.0
291,0.0,2.0
292,0.0,2.0
293,4.0,2.0
294,0.0,2.0
295,6.0,2.0
296,4.0,2.0
297,5.0,2.0
298,6.0,2.0
299,6.0,2.0
300,0.0,2.0
301,2.0,2.0
302,0.0,2.0
303,5.0,2.0
304,0.0,2.0
305,5.0,2.0
306,0.0,2.0
307,5.0,2.0
308,5.0,2.0
309,9.0,2.0
310,1.0,2.0
311,0.0,2.0
312,4.0,2.0
313,5.0,2.0
314,11.0,2.0
315,2.0,2.0
316,5.0,2.0
317,5.0,2.0
318,4.0,2.0
319,12.0,2.0
320,0.0,2.0
321,0.0,2.0
322,0.0,2.0
323,4.0,2.0
324,6.0,2.0
325,5.0,2.0
326,5.0,2.0
327,4.0,2.0
328,2.0,2.0
329,6.0,2.0
330,4.0,2.0
331,0.0,2.0
332,2.0,2.0
333,5.0,2.0
334,4.0,2.0
335,5.0,2.0
336,11.0,2.0
337,4.0,2.0
338,5.0,2.0
339,6.0,2.0
340,5.0,2.0
341,0.0,2.0
342,6.0,2.0
343,8.0,2.0
344,5.0,2.0
345,4.0,2.0
346,4.0,2.0
347,4.0,2.0
348,5.0,2.0
349,0.0,2.0
350,6.0,2.0
351,0.0,2.0
352,4.0,2.0
353,5.0,2.0
354,5.0,2.0
355,5.0,2.0
356,5.0,2.0
357,4.0,2.0
358,4.0,2.0
359,0.0,2.0
360,6.0,2.0
361,6.0,2.0
362,0.0,2.0
363,5.0,2.0
364,5.0,2.0
365,0.0,2.0
366,1.0,2.0
367,5.0,2.0
368,0.0,2.0
369,5.0,2.0
370,8.0,2.0
371,5.0,2.0
372,4.0,2.0
373,0.0,2.0
374,4.0,2.0
375,0.0,2.0
376,0.0,2.0
377,4.0,2.0
378,4.0,2.0
379,5.0,2.0
380,5.0,2.0
381,11.0,2.0
382,4.0,2.0
383,0.0,2.0
384,3.0,2.0
385,11.0,2.0
386,4.0,2.0
387,0.0,2.0
388,5.0,2.0
389,5.0,2.0
390,5.0,2.0
391,0.0,2.0
392,2.0,2.0
393,6.0,2.0
394,2.0,2.0
395,6.0,2.0
396,4.0,2.0
397,0.0,2.0
398,5.0,2.0
399,5.0,2.0
400,1.0,2.0
401,0.0,2.0
402,4.0,2.0
403,4.0,2.0
404,8.0,2.0
405,4.0,2.0
406,4.0,2.0
407,5.0,2.0
408,0.0,2.0
409,0.0,2.0
410,0.0,2.0
411,0.0,2.0
412,3.0,2.0
413,2.0,2.0
414,0.0,2.0
415,5.0,2.0
416,0.0,2.0
417,5.0,2.0
418,0.0,2.0
419,0.0,2.0
420,0.0,2.0
421,0.0,2.0
422,0.0,2.0
423,5.0,2.0
424,0.0,2.0
425,5.0,2.0
426,0.0,2.0
